R (Å)        Energy (cm^-1)
4.400      -0.3271169834
4.600      -0.3336877107
4.800      -0.3397224647
5.000      -0.3451332322
5.200      -0.3498673817
5.400      -0.3539054190
5.600      -0.3572561052
5.800      -0.3599500616
6.000      -0.3620331969
6.200      -0.3635608172
6.800      -0.3654123494
7.000      -0.3653155834
7.400      -0.3643697513
7.600      -0.3636114477
7.800      -0.3627157223
8.000      -0.3617166913
8.200      -0.3606443736
8.400      -0.3595250011
8.600      -0.3583813385
8.800      -0.3572329562
9.000      -0.3560965119
9.200      -0.3549859639
9.400      -0.3539127713
9.800      -0.3519128347
10.000     -0.3509980600
10.200     -0.3501449282
10.400     -0.3493550166
10.600     -0.3486284935
10.800     -0.3479643521
11.000     -0.3473606109
11.200     -0.3468145475
11.400     -0.3463228903
11.600     -0.3458820000
11.800     -0.3454880381
12.000     -0.3451370864
12.200     -0.3448252774
12.400     -0.3445488571
12.600     -0.3443042540
12.800     -0.3440881256
13.000     -0.3438973667
13.200     -0.3437291413
13.400     -0.3435808624
13.600     -0.3434501996
13.800     -0.3433350627
14.000     -0.3432335891
14.200     -0.3431441168
14.400     -0.3430651850
14.600     -0.3429954933
14.800     -0.3429339041
15.000     -0.3428794125
15.200     -0.3428311430
15.400     -0.3427883219
15.600     -0.3427502758
15.800     -0.3427164176
16.200     -0.3426592685
16.400     -0.3426351377
16.600     -0.3426134950
16.800     -0.3425940445
17.000     -0.3425765270
17.200     -0.3425607135
17.400     -0.3425464105
17.600     -0.3425334420
17.800     -0.3425216595
18.000     -0.3425109333
18.600     -0.3424840015
19.000     -0.3424695651
19.200     -0.3424631981
19.400     -0.3424573267
19.800     -0.3424468887
20.000     -0.3424422458
20.400     -0.3424339505
20.600     -0.3424302423
21.600     -0.3424152326
22.400     -0.3424064752
22.600     -0.3424046294
22.800     -0.3424029007
23.000     -0.3424012816
23.200     -0.3423997625
23.800     -0.3423957364
24.000     -0.3423945498
24.200     -0.3423934315
24.400     -0.3423923759
24.600     -0.3423913805
24.800     -0.3423904382
25.000     -0.3423895472
25.200     -0.3423887030
25.400     -0.3423879012
25.600     -0.3423871402
25.800     -0.3423864169
26.000     -0.3423857285
26.200     -0.3423850711
26.400     -0.3423844452
26.600     -0.3423838457
26.800     -0.3423832729
27.000     -0.3423827242
27.200     -0.3423821977
27.400     -0.3423816922
27.600     -0.3423812073
27.800     -0.3423807402
28.000     -0.3423802904
28.200     -0.3423798575
28.400     -0.3423794401
28.600     -0.3423790369
28.800     -0.3423786483
29.000     -0.3423782724
29.200     -0.3423779093
29.400     -0.3423775581
29.600     -0.3423772193
29.800     -0.3423768904
30.000     -0.3423765723
30.400     -0.3423759672
