R (ua)        Energy (Hartree)
4.400      -0.2844899441
4.600      -0.2910993646
4.800      -0.2973127619
5.000      -0.3030794446
5.200      -0.3083675168
5.400      -0.3131625003
5.600      -0.3174654793
5.800      -0.3212905051
6.000      -0.3246615764
6.200      -0.3276095623
6.800      -0.3342718546
7.000      -0.3358867808
7.400      -0.3384112068
7.600      -0.3393799188
7.800      -0.3401877505
8.000      -0.3408572950
8.200      -0.3414084999
8.400      -0.3418588622
8.600      -0.3422236399
8.800      -0.3425160684
9.000      -0.3427475987
9.200      -0.3429280810
9.400      -0.3430659718
9.800      -0.3432418080
10.000     -0.3432911210
10.200     -0.3433208459
10.400     -0.3433346927
10.600     -0.3433357732
10.800     -0.3433266988
11.000     -0.3433096360
11.200     -0.3432864008
11.400     -0.3432585001
11.600     -0.3432271807
11.800     -0.3431934705
12.000     -0.3431582168
12.200     -0.3431221091
12.400     -0.3430857075
12.600     -0.3430494634
12.800     -0.3430137339
13.000     -0.3429787960
13.200     -0.3429448661
13.400     -0.3429121045
13.600     -0.3428806216
13.800     -0.3428504983
14.000     -0.3428217805
14.200     -0.3427944857
14.400     -0.3427686194
14.600     -0.3427441631
14.800     -0.3427213877
15.000     -0.3426993534
15.200     -0.3426789146
15.400     -0.3426597174
15.600     -0.3426417064
15.800     -0.3426248233
16.200     -0.3425942044
16.400     -0.3425803508
16.600     -0.3425673897
16.800     -0.3425552678
17.000     -0.3425439321
17.200     -0.3425333306
17.400     -0.3425234182
17.600     -0.3425141468
17.800     -0.3425054752
18.000     -0.3424973655
18.600     -0.3424760317
19.000     -0.3424639888
19.200     -0.3424585370
19.400     -0.3424534328
19.800     -0.3424441745
20.000     -0.3424399814
20.400     -0.3424339505
20.600     -0.3424302423
21.600     -0.3424152326
22.400     -0.3424062257
22.600     -0.3424046294
22.800     -0.3424029007
23.000     -0.3424012816
23.200     -0.3423997625
23.800     -0.3423957364
24.000     -0.3423945498
24.200     -0.3423934315
24.400     -0.3423923759
24.600     -0.3423913805
24.800     -0.3423904382
25.000     -0.3423895472
25.200     -0.3423887030
25.400     -0.3423879012
25.600     -0.3423871402
25.800     -0.3423864169
26.000     -0.3423857285
26.200     -0.3423850711
26.400     -0.3423844452
26.600     -0.3423838457
26.800     -0.3423832729
27.000     -0.3423827242
27.200     -0.3423821977
27.400     -0.3423816922
27.600     -0.3423812073
27.800     -0.3423807402
28.000     -0.3423802904
28.200     -0.3423798575
28.400     -0.3423794401
28.600     -0.3423790369
28.800     -0.3423786483
29.000     -0.3423782724
29.200     -0.3423779093
29.400     -0.3423775581
29.600     -0.3423772193
29.800     -0.3423768904
30.000     -0.3423765723
30.400     -0.3423759672
