# E_avg	g/G	Eg	EG	gamma	Gamma
1.1303997768e+04 7.1822390779e-01 1.1303997751e+04 1.1303997785e+04 1.8109200683e-02 2.5213865045e-02
1.1406965251e+04 1.3175770848e+01 1.1406965251e+04 1.1406965251e+04 2.7286191580e-02 2.0709370173e-03
1.1509184047e+04 1.6402006903e+02 1.1509184051e+04 1.1509184042e+04 4.7865836576e-02 2.9182914541e-04
1.1610089857e+04 8.7792018881e+02 1.1610089851e+04 1.1610089863e+04 1.3103960452e-01 1.4926140917e-04
1.1655030772e+04 2.8630824880e+05 1.1655030751e+04 1.1655030792e+04 6.6272356603e+00 2.3147204763e-05
1.1705197269e+04 5.9660002292e+03 1.1705197251e+04 1.1705197286e+04 1.7996292839e+00 3.0164753851e-04
1.1724983567e+04 1.4449627061e+05 1.1724983551e+04 1.1724983582e+04 5.0321072242e+00 3.4825170248e-05
1.1783211541e+04 6.3377145069e+03 1.1783211551e+04 1.1783211531e+04 5.0549855691e+00 7.9760386234e-04
1.1817784567e+04 2.1737643094e+05 1.1817784551e+04 1.1817784582e+04 2.0755672416e+00 9.5482625812e-06
1.1862420175e+04 1.7768978245e+03 1.1862420151e+04 1.1862420198e+04 5.3960300552e+00 3.0367700274e-03
1.1917914362e+04 4.5096170924e+03 1.1917914351e+04 1.1917914372e+04 2.3306324589e+00 5.1681382502e-04
1.1932387139e+04 2.3203200894e+02 1.1932387151e+04 1.1932387126e+04 4.7292772852e+00 2.0382003788e-02
1.1987568733e+04 1.5352458146e+02 1.1987568751e+04 1.1987568715e+04 5.7358436416e+00 3.7361076558e-02
1.2020088637e+04 2.0049126018e+05 1.2020088651e+04 1.2020088623e+04 1.3112381474e+00 6.5401262192e-06
1.2061236430e+04 7.7857340147e+01 1.2061236451e+04 1.2061236408e+04 5.8059233782e+00 7.4571303967e-02
1.2117494565e+04 1.9288253324e+01 1.2117494551e+04 1.2117494578e+04 2.2102937309e+00 1.1459273651e-01
1.2124617453e+04 6.2933055039e+01 1.2124617451e+04 1.2124617455e+04 4.6172029229e+00 7.3366896300e-02
1.2186676163e+04 2.8509843405e+01 1.2186676151e+04 1.2186676174e+04 5.6515574290e+00 1.9823179485e-01
1.2222009366e+04 1.7321738639e+01 1.2222009351e+04 1.2222009381e+04 8.2154208317e-01 4.7428384662e-02
1.2253322229e+04 1.4058452607e+01 1.2253322251e+04 1.2253322206e+04 6.3259135769e+00 4.4997225184e-01
1.2307367956e+04 1.3218884399e+01 1.2307367951e+04 1.2307367961e+04 3.1415100400e+00 2.3765318958e-01
1.2328340628e+04 1.2242165216e+01 1.2328340651e+04 1.2328340605e+04 3.3509487101e+00 2.7372189894e-01
1.2382874735e+04 7.7583638693e+00 1.2382874751e+04 1.2382874718e+04 6.2895595219e+00 8.1068117297e-01
1.2413182943e+04 7.8671296483e+00 1.2413182951e+04 1.2413182934e+04 6.6992230763e-01 8.5154603722e-02
1.2448845465e+04 7.8017364410e+00 1.2448845451e+04 1.2448845478e+04 5.7436614448e+00 7.3620295792e-01
1.2511129530e+04 5.3284325363e+00 1.2511129551e+04 1.2511129509e+04 6.1629609795e+00 1.1566179993e+00
1.2512944238e+04 2.1362812455e+01 1.2512944251e+04 1.2512944224e+04 4.6295758995e-01 2.1671191044e-02
1.2573994853e+04 6.1644278277e+00 1.2573994851e+04 1.2573994855e+04 5.8239851346e+00 9.4477302636e-01
1.2611684050e+04 4.2823656417e+00 1.2611684051e+04 1.2611684049e+04 5.1901153221e-01 1.2119738846e-01
1.2638381961e+04 5.0171893257e+00 1.2638381951e+04 1.2638381970e+04 6.2366147153e+00 1.2430495065e+00
1.2695626172e+04 6.4808181320e+00 1.2695626151e+04 1.2695626193e+04 3.8059057232e+00 5.8725698603e-01
1.2713498745e+04 4.8768861257e+00 1.2713498751e+04 1.2713498738e+04 2.5688734381e+00 5.2674460135e-01
1.2764518872e+04 5.1650997328e+00 1.2764518851e+04 1.2764518893e+04 6.1187067849e+00 1.1846250995e+00
1.2800474558e+04 2.4328268798e+01 1.2800474551e+04 1.2800474564e+04 7.0794820467e-01 2.9099818427e-02
