# R (a.u.)   X(1)1Sigma+          A(2)1Sigma+         (3)1Sigma+         (4)1Sigma+           (5)1Sigma+         (6)1Sigma+          (7)1Sigma+           (1)1Pi             (2)1Pi              (3)1Pi              (4)1Pi               (5)1Pi
     5.000   -0.4199314706E+00    0.3598900000E+01    0.1474800000E+01   -0.8530000000E-01    0.2799000000E+00   -0.2077000000E+00   -0.2344000000E+00    0.8762000000E+00   -0.3563900000E+01   -0.4808000000E+00   -0.3892000000E+00    0.3056000000E+00
     5.100   -0.4279827132E+00    0.3598318864E+01    0.1563622875E+01   -0.2674457610E-01    0.2673513139E+00   -0.1495506161E+00   -0.2560419529E+00    0.1074379884E+01   -0.3501578635E+01   -0.5366957204E+00   -0.4039101658E+00    0.2913427384E+00
     5.200   -0.4336747967E+00    0.3610900000E+01    0.1616300000E+01    0.3000000000E-01    0.2590000000E+00   -0.9820000000E-01   -0.2776000000E+00    0.1275700000E+01   -0.3425200000E+01   -0.5951000000E+00   -0.4122000000E+00    0.2738000000E+00
     5.300   -0.4375000000E+00    0.3637958562E+01    0.1632543918E+01    0.3984889439E-01    0.2584286175E+00   -0.4666407790E-01   -0.2988642852E+00    0.1479571912E+01   -0.3331018020E+01   -0.6544058280E+00   -0.4137176259E+00    0.2520332152E+00
     5.400   -0.4399084059E+00    0.3678000000E+01    0.1614700000E+01    0.3290000000E-01    0.1909000000E+00   -0.1720000000E-01   -0.3198000000E+00    0.1685500000E+01   -0.3217900000E+01   -0.7128000000E+00   -0.4085000000E+00    0.2052000000E+00
     5.500   -0.4411813128E+00    0.3728471887E+01    0.1566226451E+01    0.4937399852E-01    0.7796716203E-02   -0.3266807225E-01   -0.3387009062E+00    0.1892757468E+01   -0.3085224285E+01   -0.7684809676E+00   -0.3967318306E+00    0.1304244009E+00
     5.600   -0.4415578233E+00    0.3785400000E+01    0.1492400000E+01    0.9480000000E-01   -0.1567000000E+00   -0.8910000000E-01   -0.3470000000E+00    0.2099600000E+01   -0.2931800000E+01   -0.8199000000E+00   -0.3788000000E+00    0.1166000000E+00
     5.700   -0.4412770397E+00    0.3844603888E+01    0.1399200276E+01    0.1637551115E+00   -0.1735404823E+00   -0.1737261331E+00   -0.3350945900E+00    0.2303660718E+01   -0.2756747340E+01   -0.8656953016E+00   -0.3552300518E+00    0.2321691811E+00
     5.800   -0.4405780645E+00    0.3902500000E+01    0.1293600000E+01    0.2417000000E+00   -0.1170000000E+00   -0.2654000000E+00   -0.2961000000E+00    0.2501100000E+01   -0.2561000000E+01   -0.9050000000E+00   -0.3269000000E+00    0.3720000000E+00
     5.900   -0.4397000000E+00    0.3956050059E+01    0.1182597443E+01    0.3149805554E+00   -0.8532228708E-01   -0.3443273953E+00   -0.2305832339E+00    0.2687674662E+01   -0.2346461354E+01   -0.9371628260E+00   -0.2946104622E+00    0.4247738746E+00
