# E	Gamma
8.7249614020e+03 3.8957361531e-03
8.7748061130e+03 2.6221515285e-03
8.8245188080e+03 7.8712635896e-04
8.8740993580e+03 1.4239197557e-04
8.9235471960e+03 1.7938837023e-05
8.9728612980e+03 1.7482544793e-06
9.0220401570e+03 1.4437298232e-07
9.0710817310e+03 1.1318808724e-08
9.1199833790e+03 9.6877635246e-10
9.1687417580e+03 6.6398815930e-11
9.2173526900e+03 7.0685281467e-13
9.2658109690e+03 6.1183803359e-13
9.3141101080e+03 1.7262661910e-12
9.3622419770e+03 4.3829170937e-15
9.4101963020e+03 2.8483915842e-13
9.4579599520e+03 1.1296816944e-13
9.5055159070e+03 1.1468081166e-13
9.5528417510e+03 2.2814843857e-13
9.5999074060e+03 1.8901000531e-14
9.6466716730e+03 4.7946417513e-13
9.6930768760e+03 4.8641688473e-15
9.7390405090e+03 5.9697694284e-13
9.7844424500e+03 4.5027146923e-14
9.8291069630e+03 8.5714157105e-13
9.8727841170e+03 2.5184809631e-13
9.9151553980e+03 4.2170355772e-13
9.9559271020e+03 1.1859088571e-12
9.9950399290e+03 1.1999407131e-12
1.0032683792e+04 2.6893819766e-08
1.0035607758e+04 1.5317812065e-06
1.0069326690e+04 5.6854003860e-08
1.0083700164e+04 2.6156389463e-05
1.0105189935e+04 1.4419439829e-07
1.0133052327e+04 2.1169721950e-04
1.0140553294e+04 3.2585016697e-07
1.0175226428e+04 3.3452783923e-05
1.0183517465e+04 1.0606100774e-03
1.0209859295e+04 3.9394043360e-05
1.0234188342e+04 4.0179685958e-03
1.0244199592e+04 8.9321873960e-05
1.0278344819e+04 1.5604709067e-04
1.0285120346e+04 1.1539849757e-02
1.0312364671e+04 5.1675125779e-04
1.0335919313e+04 2.5099607568e-02
1.0346448591e+04 2.8102736559e-03
1.0379323334e+04 5.9405496824e-04
1.0387699108e+04 5.3142074835e-02
1.0413445146e+04 1.0199246832e-03
1.0437388832e+04 7.7337370758e-02
1.0447941995e+04 1.5398793219e-02
1.0478754639e+04 8.4685483358e-03
1.0490644347e+04 1.2744512428e-01
1.0513070461e+04 2.3219932737e-05
1.0539064036e+04 1.4841307767e-01
1.0548010251e+04 3.0798054338e-02
1.0577952550e+04 2.2826964752e-02
1.0592601756e+04 1.9263577442e-01
1.0611777708e+04 3.7371479828e-03
1.0641038363e+04 1.9947995835e-01
1.0646171463e+04 2.8413689950e-02
1.0677365783e+04 2.6945871017e-02
1.0692708267e+04 2.0260081539e-01
1.0710505918e+04 1.6745845766e-02
1.0742091700e+04 1.7143452968e-01
1.0743511389e+04 3.9646841520e-02
1.0776368845e+04 1.2708287435e-02
1.0791281653e+04 1.6625266329e-01
1.0809405116e+04 2.1515025592e-02
1.0838192407e+04 5.5377622608e-02
1.0844290174e+04 9.7423437521e-02
1.0873944350e+04 9.4685106560e-04
1.0889648349e+04 1.1108230852e-01
1.0907548845e+04 1.1796864095e-02
1.0934045246e+04 3.4459932696e-02
1.0944097323e+04 5.5363611565e-02
1.0970034981e+04 7.1326705100e-04
1.0988359125e+04 5.8936876619e-02
1.1004080355e+04 2.6823070646e-03
1.1030713931e+04 1.9101664508e-02
1.1041866240e+04 2.3891213514e-02
1.1065721203e+04 2.2073382714e-03
1.1086605524e+04 2.5420258617e-02
1.1099234439e+04 2.0917149240e-05
1.1128236258e+04 8.0747573473e-03
1.1137173515e+04 8.7662122854e-03
1.1161907021e+04 1.6992875411e-03
1.1182986053e+04 8.7505079915e-03
1.1194423054e+04 4.5676794919e-04
1.1225989492e+04 2.1617012213e-03
1.1230489211e+04 3.4871527658e-03
1.1258440768e+04 6.2723705494e-04
1.1276907568e+04 2.5650077986e-03
1.1290563930e+04 4.6467937154e-04
1.1321617573e+04 9.2175687024e-05
1.1324376879e+04 1.6038731142e-03
1.1354374244e+04 1.0889361753e-04
1.1369642385e+04 7.7053153858e-04
1.1386665295e+04 1.5359121477e-04
1.1413275411e+04 1.4964519486e-04
1.1420820441e+04 3.1976556453e-04
