# R (a.u.)            X(1)1Sigma+         A(2)1Sigma+         (3)1Sigma+          (4)1Sigma+          (5)1Sigma+          (6)1Sigma+          (7)1Sigma+          (1)1Pi              (2)1Pi              (3)1Pi              (4)1Pi              (5)1Pi              b(1)3Pi
  0.500000000000E+01  0.159387996548E+05  0.212557710589E+05  0.201620236229E+05  0.261303752677E+05  0.225418136073E+05  0.226799465508E+05  0.233589889299E+05  0.199269322742E+05  0.214337803481E+05  0.223405553703E+05  0.195378215302E+05  0.211639882442E+05  0.496402892793E+04
  0.502496590435E+01  0.152308952434E+05  0.212557710589E+05  0.194083381988E+05  0.253468799747E+05  0.217227447512E+05  0.219115177513E+05  0.225810675818E+05  0.191936766778E+05  0.206654697141E+05  0.215499574856E+05  0.187896100869E+05  0.203946441116E+05  0.496402892793E+04
  0.504993180725E+01  0.145517524974E+05  0.212557710589E+05  0.186834205113E+05  0.245900551258E+05  0.209292872949E+05  0.211750677310E+05  0.218308867420E+05  0.184916216749E+05  0.199290866308E+05  0.207912362045E+05  0.180735506754E+05  0.196580269629E+05  0.496402892793E+04
  0.507489770873E+01  0.139000315068E+05  0.212557710589E+05  0.179871276218E+05  0.238592095870E+05  0.201625176596E+05  0.204699239466E+05  0.211083351517E+05  0.178190706223E+05  0.192228984360E+05  0.200627259416E+05  0.173878862873E+05  0.189524725128E+05  0.496402892793E+04
  0.509986360882E+01  0.132743923617E+05  0.212557710589E+05  0.173193165911E+05  0.231536522242E+05  0.194235122653E+05  0.197954138552E+05  0.204133015518E+05  0.171743268770E+05  0.185451724674E+05  0.193627611114E+05  0.167308599144E+05  0.182763164762E+05  0.496402892793E+04
  0.512482950758E+01  0.126735463140E+05  0.212557710589E+05  0.166796162654E+05  0.224723806085E+05  0.187131537725E+05  0.191507061368E+05  0.197454537386E+05  0.165558023465E+05  0.178942882573E+05  0.186897822536E+05  0.161008274252E+05  0.176279991907E+05  0.496402892793E+04
  0.514979540512E+01  0.120964694473E+05  0.212557710589E+05  0.160667275496E+05  0.218131265558E+05  0.180315369976E+05  0.185343238718E+05  0.191035611288E+05  0.159623503160E+05  0.172690815301E+05  0.180426614227E+05  0.154966036543E+05  0.170063864009E+05  0.496402892793E+04
  0.517476130153E+01  0.115422232776E+05  0.212557710589E+05  0.154791155304E+05  0.211733002145E+05  0.173785565416E+05  0.179446260738E+05  0.184861648328E+05  0.153929362382E+05  0.166685039433E+05  0.174203803345E+05  0.149171200743E+05  0.164104519602E+05  0.496402892793E+04
  0.519972719695E+01  0.110098693633E+05  0.212557710589E+05  0.149152452945E+05  0.205503117338E+05  0.167541070054E+05  0.173799717568E+05  0.178918059618E+05  0.148465255660E+05  0.160915071542E+05  0.168219207052E+05  0.143613081578E+05  0.158391697225E+05  0.496402892793E+04
  0.522469309153E+01  0.104984692628E+05  0.212557710589E+05  0.143736864458E+05  0.199421019789E+05  0.161577434684E+05  0.168388238528E+05  0.173191285371E+05  0.143220956961E+05  0.155370567594E+05  0.162462751504E+05  0.138281125144E+05  0.152915202245E+05  0.496402892793E+04
  0.524965898544E+01  0.100070845350E+05  0.212557710589E+05  0.138534405866E+05  0.193488054249E+05  0.155876176625E+05  0.163200748167E+05  0.167672019408E+05  0.138186733914E+05  0.150041759685E+05  0.156924813365E+05  0.133165320510E+05  0.147665116241E+05  0.496402892793E+04
  0.527462487888E+01  0.953477673886E+04  0.212557710589E+05  0.133536209178E+05  0.187711232220E+05  0.150415187938E+05  0.158227280627E+05  0.162352054380E+05  0.133352981676E+05  0.144919028747E+05  0.151595885682E+05  0.128255797015E+05  0.142631592151E+05  0.496402892793E+04
  0.529959077206E+01  0.908060944271E+04  0.209948290569E+05  0.128733406407E+05  0.182097565209E+05  0.145172360684E+05  0.153457870051E+05  0.157223182946E+05  0.128710095409E+05  0.139992755713E+05  0.146466461502E+05  0.123542684000E+05  0.137804782916E+05  0.483947878055E+04
  0.532455666523E+01  0.864375789751E+04  0.202282441721E+05  0.124117222366E+05  0.176652271072E+05  0.140127428889E+05  0.148882681007E+05  0.152277312383E+05  0.124248766897E+05  0.135253642622E+05  0.141527325290E+05  0.119016425640E+05  0.133175108606E+05  0.447355089814E+04
  0.534952255865E+01  0.822356556227E+04  0.194875079418E+05  0.119679271770E+05  0.171373031379E+05  0.135267865851E+05  0.144492426036E+05  0.147506831547E+05  0.119960934216E+05  0.130693740673E+05  0.136770485916E+05  0.114668788906E+05  0.128734111647E+05  0.411989866846E+04
  0.537448845259E+01  0.781938980789E+04  0.187710426653E+05  0.115411271725E+05  0.166255548698E+05  0.130583177175E+05  0.140277961582E+05  0.142904255761E+05  0.115838862713E+05  0.126305455347E+05  0.132188273778E+05  0.110491888136E+05  0.124473629198E+05  0.377777763429E+04
  0.539945434737E+01  0.743058800549E+04  0.180768445453E+05  0.111304939340E+05  0.161295525591E+05  0.126062868479E+05  0.136230144090E+05  0.138462100349E+05  0.111874817745E+05  0.122081192133E+05  0.127773019280E+05  0.106477837672E+05  0.120385498423E+05  0.344623049202E+04
  0.542442024331E+01  0.705651752657E+04  0.174051483862E+05  0.107352269858E+05  0.156488556186E+05  0.121697032526E+05  0.132340028107E+05  0.134173208430E+05  0.108061253421E+05  0.118013564392E+05  0.123517240782E+05  0.102618954451E+05  0.116461206884E+05  0.312537589910E+04
