# R (A)        X1Sigma+ (cm-1)
    2.487132  7708.943226
    2.540050  7543.465939
    2.592967  7349.327460
    2.645885  7127.943401
    2.698803  6881.225385
    2.751720  6611.539349
    2.804638  6321.626531
    2.857556  6014.513487
    2.910474  5693.422103
    2.963391  5361.664253
    3.016309  5022.589118
    3.069227  4679.488818
    3.122144  4335.547931
    3.175062  3993.795205
    3.227980  3657.055281
    3.280897  3327.911373
    3.333815  3008.681134
    3.386733  2701.399094
    3.439650  2407.799102
    3.492568  2129.318718
    3.545486  1867.107988
    3.598404  1622.033837
    3.651321  1394.710794
    3.704239  1185.511967
    3.757157   994.595376
    3.810074   821.930295
    3.862992   667.330170
    3.915910   530.467986
    3.968828   410.900402
    4.021745   308.087512
    4.074663   221.403812
    4.127581   150.188684
    4.180498    93.722251
    4.233416    51.249521
    4.286334    21.995747
    4.339251     5.177407
    4.392169     0.000000
    4.445087     5.688782
    4.498005    21.460229
    4.550922    46.552764
    4.603840    80.220172
    4.656758   121.733798
    4.709675   170.393518
    4.762593   225.521156
    4.815511   286.467066
    4.868428   352.607941
    4.921346   423.342419
    4.974264   498.108647
    5.027182   576.362326
    5.080099   657.594276
    5.133017   741.319458
    5.185935   827.083559
    5.238852   914.460799
    5.291770  1003.038565
    5.344688  1092.448139
    5.397605  1182.340558
    5.450523  1272.386609
    5.503441  1362.281223
    5.556358  1451.747861
    5.609276  1540.534128
    5.662194  1628.402991
    5.715112  1715.145949
    5.768029  1800.565475
    5.820947  1884.496963
    5.873865  1966.782391
    5.926782  2047.292270
    5.979700  2125.908082
    6.032618  2202.528870
    6.085535  2277.075623
    6.138453  2349.475914
    6.191371  2419.690238
    6.244289  2487.650557
    6.297206  2553.341508
    6.350124  2616.747729
    6.403042  2677.862635
    6.455959  2736.690614
    6.508877  2793.247032
    6.561795  2847.549445
    6.614713  2899.630774
    6.667630  2949.523942
    6.720548  2997.270648
    6.773466  3042.919176
    6.826383  3086.517811
    6.879301  3128.123617
    6.932219  3167.793656
    6.985136  3205.584993
    7.038054  3241.561274
    7.090972  3275.783953
    7.143890  3308.321067
    7.196807  3339.231874
    7.249725  3368.582216
    7.302643  3396.437936
    7.355560  3422.860487
    7.408478  3447.911321
    7.461396  3471.654087
    7.514313  3494.145847
    7.567231  3515.448055
    7.620149  3535.615578
    7.673067  3554.705482
    7.725984  3572.768244
    7.778902  3589.856538
    7.831820  3606.023040
    7.884737  3621.309448
    7.937655  3635.766241
    7.990573  3649.435121
    8.043490  3662.359982
    8.096408  3674.578135
    8.149326  3686.129085
    8.202243  3697.047948
    8.255161  3707.372034
    8.308079  3717.134266
    8.360997  3726.363174
    8.413914  3735.089485
    8.466832  3743.341731
    8.519750  3751.148444
    8.572667  3758.531570
    8.625585  3765.517448
    8.678503  3772.125829
    8.731421  3778.380856
    8.784338  3784.302282
    8.837256  3789.909858
    8.890174  3795.218950
    8.943091  3800.249308
    8.996009  3805.014102
    9.048927  3809.530890
    9.101844  3813.812840
    9.154762  3817.873121
    9.207680  3821.724901
    9.260597  3825.381348
    9.313515  3828.849047
    9.366433  3832.143361
    9.419351  3835.273070
    9.472268  3838.244756
    9.525186  3841.069395
    9.578104  3843.757959
    9.631021  3846.312643
    9.683939  3848.742228
    9.736857  3851.055490
    9.789775  3853.259016
    9.842692  3855.354998
    9.895610  3857.354412
    9.948528  3859.259452
   10.001445  3861.074507
   10.054363  3862.806162
   10.107281  3864.458806
   10.160198  3866.034634
   10.213116  3867.540230
   10.266034  3868.977789
   10.318952  3870.351700
   10.371869  3871.664158
   10.424787  3872.917358
   10.477705  3874.117884
   10.530622  3875.265737
   10.583540  3876.363110
   10.636458  3877.414393
   10.689375  3878.419587
   10.742293  3879.383081
   10.795211  3880.307069
   10.848128  3881.191552
   10.901046  3882.040918
   10.953964  3882.855169
   11.006882  3883.634304
   11.059799  3884.384908
   11.112717  3885.104784
   11.165635  3885.793935
   11.218552  3886.458943
   11.271470  3887.095419
   11.324388  3887.707753
   11.377306  3888.298140
   11.430223  3888.864385
   11.483141  3889.410877
   11.536059  3889.935421
   11.588976  3890.440213
   11.641894  3890.927446
   11.694812  3891.397122
   11.747729  3891.849240
   11.800647  3892.285994
   11.853565  3892.707386
   11.906483  3893.113414
   11.959400  3893.504078
   12.012318  3893.881575
   12.065236  3894.248097
   12.118153  3894.601452
   12.171071  3894.941637
   12.223989  3895.270849
   12.276906  3895.589087
   12.329824  3895.898547
   12.382742  3896.197032
   12.435659  3896.484544
   12.488577  3896.765471
   12.541495  3897.035425
   12.594413  3897.296600
   12.647330  3897.551191
   12.700248  3897.797002
   12.753166  3898.036230
   12.806083  3898.266678
   12.859001  3898.490542
   12.911919  3898.707822
   12.964837  3898.918518
   13.017754  3899.124824
   13.070672  3899.322351
   13.123590  3899.515489
   13.176507  3899.702042
   13.229425  3899.884206
   13.282343  3900.061980
   13.335260  3900.233171
   13.388178  3900.399971
   13.441096  3900.562383
   13.494013  3900.720404
   13.546931  3900.874036
   13.599849  3901.023279
   13.652767  3901.168132
   13.705684  3901.308596
   13.758602  3901.444671
   13.811520  3901.578550
   13.864437  3901.708040
   13.917355  3901.835335
   13.970273  3901.958241
   14.023191  3902.078952
   14.076108  3902.195274
   14.129026  3902.309401
   14.181944  3902.419138
   14.234861  3902.526680
   14.287779  3902.632028
   14.340697  3902.735181
   14.393614  3902.833945
   14.446532  3902.932709
   14.499450  3903.027083
   14.552368  3903.119262
   14.605285  3903.209247
   14.658203  3903.297036
   14.711121  3903.382632
   14.764038  3903.466032
   14.816956  3903.549432
   14.869874  3903.628443
   14.922791  3903.705259
   14.975709  3903.782075
   15.028627  3903.856697
   15.081544  3903.929123
   15.134462  3903.999355
   15.187380  3904.067392
   15.240298  3904.135429
   15.293215  3904.201272
   15.346133  3904.264920
   15.399051  3904.326372
   15.451968  3904.387825
   15.504886  3904.449278
   15.557804  3904.506342
   15.610722  3904.563405
   15.663639  3904.618274
   15.716557  3904.673142
   15.769475  3904.725816
   15.822392  3904.778490
   15.875310  3904.828969
   15.928228  3904.879448
   15.981145  3904.927733
   16.034063  3904.973823
   16.086981  3905.019912
   16.139899  3905.066002
   16.192816  3905.109897
   16.245734  3905.153792
   16.298652  3905.195492
   16.351569  3905.234997
   16.404487  3905.276698
   16.457405  3905.316203
   16.510322  3905.353514
   16.563240  3905.390824
   16.616158  3905.428135
   16.669076  3905.463251
   16.721993  3905.498367
   16.774911  3905.531288
   16.827829  3905.564209
   16.880746  3905.597131
   16.933664  3905.630052
   16.986582  3905.660778
   17.039499  3905.689310
   17.092417  3905.720036
   17.145335  3905.748568
   17.198252  3905.777100
   17.251170  3905.803437
   17.304088  3905.829774
   17.357006  3905.856111
   17.409923  3905.882448
   17.462841  3905.906590
   17.515759  3905.930732
   17.568676  3905.954874
   17.621594  3905.979016
   17.674512  3906.000964
   17.727429  3906.022911
   17.780347  3906.044859
   17.833265  3906.064611
   17.886183  3906.086559
   17.939100  3906.106312
   17.992018  3906.126064
   18.044936  3906.143622
   18.097853  3906.163375
   18.150771  3906.180933
   18.203689  3906.198491
   18.256607  3906.216049
   18.309524  3906.231412
   18.362442  3906.248970
   18.415360  3906.264333
   18.468277  3906.279697
   18.521195  3906.295060
   18.574113  3906.310423
   18.627030  3906.325786
   18.679948  3906.338955
   18.732866  3906.354318
   18.785784  3906.367486
   18.838701  3906.380655
   18.891619  3906.393823
   18.944537  3906.406992
   18.997454  3906.417966
   19.050372  3906.431134
   19.103290  3906.442108
