# E	G
8.7497560000e+03 2.0351647499e-02
8.7996008000e+03 2.1786981997e-02
8.8493134000e+03 2.3383837049e-02
8.8988940000e+03 2.5167115583e-02
8.9483418000e+03 2.7168208175e-02
8.9976559000e+03 2.9424238012e-02
9.0468348000e+03 3.1980245940e-02
9.0958764000e+03 3.4891906776e-02
9.1447780000e+03 3.8228576772e-02
9.1935364000e+03 4.2077388617e-02
9.2421473000e+03 4.6548990403e-02
9.2906056000e+03 5.1785574032e-02
9.3389047000e+03 5.7972255824e-02
9.3870366000e+03 6.5353459266e-02
9.4349909000e+03 7.4257039472e-02
9.4827546000e+03 8.5130403197e-02
9.5303105000e+03 9.8595799026e-02
9.5776364000e+03 1.1553646576e-01
9.6247020000e+03 1.3723372166e-01
9.6714663000e+03 1.6558838309e-01
9.7178715000e+03 2.0348077460e-01
9.7638351000e+03 2.5534543896e-01
9.8092371000e+03 3.2801623773e-01
9.8539016000e+03 4.3163448783e-01
9.8975788000e+03 5.7923210577e-01
9.9399500000e+03 7.8035120615e-01
9.9807217000e+03 1.0227143739e+00
1.0019834600e+04 1.2608693197e+00
1.0057478400e+04 1.5637971566e+00
1.0060402400e+04 5.4412900238e+00
1.0094121300e+04 1.6401087790e+00
1.0108494800e+04 5.4038736471e+00
1.0129984600e+04 1.7427097350e+00
1.0157847000e+04 5.3265408011e+00
1.0165347900e+04 1.7999387027e+00
1.0200021100e+04 2.0932836573e+00
1.0208312100e+04 4.9995681588e+00
1.0234653900e+04 2.0550108295e+00
1.0258983000e+04 4.9885011792e+00
1.0268994200e+04 2.1051791281e+00
1.0303139500e+04 2.1306204784e+00
1.0309915000e+04 4.9062931210e+00
1.0337159300e+04 2.2258448215e+00
1.0360714000e+04 4.5731346888e+00
1.0371243200e+04 2.5082690119e+00
1.0404118000e+04 2.0278922920e+00
1.0412493700e+04 4.9858124272e+00
1.0438239800e+04 2.1771313460e+00
1.0462183500e+04 4.4490580215e+00
1.0472736600e+04 2.6503745029e+00
1.0503549300e+04 2.2687182767e+00
1.0515439000e+04 4.7915509492e+00
1.0537865100e+04 2.1056493386e+00
1.0563858700e+04 4.6086515887e+00
1.0572804900e+04 2.4159914177e+00
1.0602747200e+04 2.6483933075e+00
1.0617396400e+04 4.3989044916e+00
1.0636572300e+04 2.2937400130e+00
1.0665833000e+04 4.7978491064e+00
1.0670966100e+04 2.0685891393e+00
1.0702160400e+04 2.8629806431e+00
1.0717502900e+04 3.9779471475e+00
1.0735300600e+04 2.7049362846e+00
1.0766886300e+04 3.5849490585e+00
1.0768306000e+04 3.1898528116e+00
1.0801163400e+04 2.6665609945e+00
1.0816076300e+04 3.9687328316e+00
1.0834199700e+04 2.9068000339e+00
1.0862986800e+04 2.4583184360e+00
1.0869084700e+04 4.3654701497e+00
1.0898738300e+04 2.2481711426e+00
1.0914442900e+04 4.3837889503e+00
1.0932342200e+04 2.6640414456e+00
1.0958838100e+04 2.9009629056e+00
1.0968891000e+04 4.0530867488e+00
1.0994823900e+04 2.1560839024e+00
1.1013153700e+04 4.6807177419e+00
1.1028864400e+04 2.2281041930e+00
1.1055499300e+04 3.5287468923e+00
1.1066651700e+04 3.4293463418e+00
1.1090486500e+04 2.5350146159e+00
1.1111399300e+04 4.5401415994e+00
1.1123973700e+04 2.1114848880e+00
1.1152994700e+04 3.9662546730e+00
1.1161917000e+04 2.7948216232e+00
1.1186600200e+04 3.0393138862e+00
1.1207753900e+04 3.8255375861e+00
1.1219048100e+04 2.6865778824e+00
1.1250645600e+04 3.8295451525e+00
1.1255146000e+04 2.7530067561e+00
1.1282967600e+04 3.2066666176e+00
1.1301575000e+04 3.2405951253e+00
1.1315025500e+04 3.3170884322e+00
1.1345834600e+04 1.8497083665e+00
1.1349167400e+04 4.7047293818e+00
1.1378598200e+04 2.8509528132e+00
1.1394251400e+04 3.4846301071e+00
1.1410920900e+04 3.3197102175e+00
1.1437388700e+04 2.1508198159e+00
1.1445466600e+04 4.5305134144e+00
1.1472487400e+04 2.2616255165e+00
1.1487344100e+04 4.1923622326e+00
1.1505507800e+04 2.8283343207e+00
1.1528951800e+04 2.8991286612e+00
1.1540637900e+04 3.9833311095e+00
1.1564717800e+04 2.1486691778e+00
1.1581066800e+04 4.5847433551e+00
1.1598223300e+04 2.2494740272e+00
1.1621361200e+04 3.7761344368e+00
1.1633780100e+04 3.1426915097e+00
1.1656525500e+04 2.6609086918e+00
1.1674260500e+04 4.3356860865e+00
1.1689569500e+04 2.1513470538e+00
1.1714496200e+04 4.4472046953e+00
1.1724568600e+04 2.2591290769e+00
1.1748844000e+04 3.3592975320e+00
1.1765514900e+04 3.5186848841e+00
1.1780865300e+04 2.7259506244e+00
1.1807406100e+04 4.6711700004e+00
1.1813699100e+04 1.8106586765e+00
1.1841608400e+04 3.7934287737e+00
1.1854306400e+04 2.7654452638e+00
1.1872811200e+04 3.3673089969e+00
1.1897667100e+04 3.3992646190e+00
1.1903705100e+04 2.9776251659e+00
1.1934191900e+04 3.7165637716e+00
1.1941374000e+04 2.6739437266e+00
1.1964850500e+04 3.5636580337e+00
1.1984590000e+04 2.6550026256e+00
1.1995470500e+04 3.7578498791e+00
