# E_avg	g/G	Eg	EG	gamma	Gamma
8.7249613822e+03 5.2240826122e+00 8.7249613624e+03 8.7249614020e+03 2.0351647499e-02 3.8957361531e-03
8.7748061377e+03 8.3088188307e+00 8.7748061624e+03 8.7748061130e+03 2.1786981997e-02 2.6221515285e-03
8.8245187852e+03 2.9707856665e+01 8.8245187624e+03 8.8245188080e+03 2.3383837049e-02 7.8712635896e-04
8.8740993602e+03 1.7674532207e+02 8.8740993624e+03 8.8740993580e+03 2.5167115583e-02 1.4239197557e-04
8.9235471792e+03 1.5144910531e+03 8.9235471624e+03 8.9235471960e+03 2.7168208175e-02 1.7938837023e-05
8.9728612802e+03 1.6830637851e+04 8.9728612624e+03 8.9728612980e+03 2.9424238012e-02 1.7482544793e-06
9.0220401597e+03 2.2151129267e+05 9.0220401624e+03 9.0220401570e+03 3.1980245940e-02 1.4437298232e-07
9.0710817467e+03 3.0826483269e+06 9.0710817624e+03 9.0710817310e+03 3.4891906776e-02 1.1318808724e-08
9.1199833707e+03 3.9460683237e+07 9.1199833624e+03 9.1199833790e+03 3.8228576772e-02 9.6877635246e-10
9.1687417602e+03 6.3370691220e+08 9.1687417624e+03 9.1687417580e+03 4.2077388617e-02 6.6398815930e-11
9.2173526762e+03 6.5853865808e+10 9.2173526624e+03 9.2173526900e+03 4.6548990403e-02 7.0685281467e-13
9.2658109657e+03 8.4639350921e+10 9.2658109624e+03 9.2658109690e+03 5.1785574032e-02 6.1183803359e-13
9.3141100852e+03 3.3582454506e+10 9.3141100624e+03 9.3141101080e+03 5.7972255824e-02 1.7262661910e-12
9.3622419697e+03 1.4910950371e+13 9.3622419624e+03 9.3622419770e+03 6.5353459266e-02 4.3829170937e-15
9.4101962822e+03 2.6069814236e+11 9.4101962624e+03 9.4101963020e+03 7.4257039472e-02 2.8483915842e-13
9.4579599572e+03 7.5357867282e+11 9.4579599624e+03 9.4579599520e+03 8.5130403197e-02 1.1296816944e-13
9.5055158847e+03 8.5974102903e+11 9.5055158624e+03 9.5055159070e+03 9.8595799026e-02 1.1468081166e-13
9.5528417567e+03 5.0640918905e+11 9.5528417624e+03 9.5528417510e+03 1.1553646576e-01 2.2814843857e-13
